id_Participantes;;id_Acidente;;pessoas;;mortos;;feridos_leves;;feridos_graves;;ilesos;;ignorados;;feridos;;veiculos;;;
115;,;115;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
116;,;116;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
117;,;117;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
118;,;118;,;4;,;0;,;1;,;0;,;3;,;0;,;1;,;3;");";;
119;,;119;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
120;,;120;,;5;,;1;,;0;,;2;,;2;,;0;,;2;,;3;");";;
121;,;121;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;
122;,;122;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
123;,;123;,;4;,;0;,;0;,;0;,;4;,;0;,;0;,;2;");";;
124;,;124;,;3;,;0;,;1;,;0;,;2;,;0;,;1;,;2;");";;
125;,;125;,;2;,;0;,;2;,;0;,;0;,;0;,;2;,;1;");";;
126;,;126;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
127;,;127;,;2;,;0;,;0;,;1;,;1;,;0;,;1;,;2;");";;
128;,;128;,;2;,;0;,;0;,;2;,;0;,;0;,;2;,;2;");";;
129;,;129;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;1;");";;
130;,;130;,;4;,;0;,;2;,;0;,;2;,;0;,;2;,;2;");";;
131;,;131;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
132;,;132;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
133;,;133;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;1;");";;
134;,;134;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
135;,;135;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
136;,;136;,;3;,;0;,;2;,;0;,;1;,;0;,;2;,;2;");";;
137;,;137;,;2;,;0;,;0;,;1;,;1;,;0;,;1;,;2;");";;
138;,;138;,;2;,;0;,;0;,;1;,;1;,;0;,;1;,;1;");";;
139;,;139;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
140;,;140;,;5;,;0;,;1;,;0;,;4;,;0;,;1;,;2;");";;
141;,;141;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
142;,;142;,;4;,;0;,;0;,;0;,;4;,;0;,;0;,;2;");";;
143;,;143;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
144;,;144;,;4;,;0;,;1;,;0;,;3;,;0;,;1;,;2;");";;
145;,;145;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
146;,;146;,;3;,;0;,;1;,;0;,;2;,;0;,;1;,;2;");";;
147;,;147;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;
148;,;148;,;3;,;0;,;0;,;0;,;3;,;0;,;0;,;3;");";;
149;,;149;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;1;");";;
150;,;150;,;1;,;0;,;0;,;1;,;0;,;0;,;1;,;1;");";;
151;,;151;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
152;,;152;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;
153;,;153;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
154;,;154;,;3;,;0;,;2;,;0;,;1;,;0;,;2;,;2;");";;
155;,;155;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
156;,;156;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;1;");";;
157;,;157;,;6;,;1;,;1;,;2;,;2;,;0;,;3;,;4;");";;
158;,;158;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
159;,;159;,;1;,;0;,;1;,;0;,;0;,;0;,;1;,;1;");";;
160;,;160;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
161;,;161;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
162;,;162;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
163;,;163;,;5;,;0;,;1;,;0;,;4;,;0;,;1;,;5;");";;
164;,;164;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;
165;,;165;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
166;,;166;,;2;,;0;,;0;,;0;,;1;,;1;,;0;,;2;");";;
167;,;167;,;2;,;0;,;0;,;0;,;1;,;1;,;0;,;1;");";;
168;,;168;,;3;,;1;,;0;,;2;,;0;,;0;,;2;,;2;");";;
169;,;169;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;
170;,;170;,;5;,;0;,;0;,;0;,;5;,;0;,;0;,;2;");";;
171;,;171;,;3;,;1;,;0;,;0;,;0;,;2;,;0;,;2;");";;
172;,;172;,;7;,;1;,;1;,;1;,;4;,;0;,;2;,;4;");";;
173;,;173;,;3;,;0;,;2;,;0;,;1;,;0;,;2;,;2;");";;
174;,;174;,;3;,;0;,;0;,;0;,;3;,;0;,;0;,;2;");";;
175;,;175;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
176;,;176;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;
177;,;177;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
178;,;178;,;1;,;1;,;0;,;0;,;0;,;0;,;0;,;1;");";;
179;,;179;,;3;,;0;,;1;,;0;,;2;,;0;,;1;,;2;");";;
180;,;180;,;1;,;0;,;1;,;0;,;0;,;0;,;1;,;1;");";;
181;,;181;,;3;,;0;,;2;,;0;,;1;,;0;,;2;,;2;");";;
182;,;182;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
183;,;183;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;
184;,;184;,;3;,;0;,;0;,;0;,;1;,;2;,;0;,;3;");";;
185;,;185;,;4;,;0;,;3;,;0;,;1;,;0;,;3;,;2;");";;
186;,;186;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
187;,;187;,;3;,;0;,;0;,;0;,;3;,;0;,;0;,;2;");";;
188;,;188;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
189;,;189;,;2;,;0;,;1;,;0;,;0;,;1;,;1;,;2;");";;
190;,;190;,;2;,;1;,;1;,;0;,;0;,;0;,;1;,;1;");";;
191;,;191;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
192;,;192;,;6;,;0;,;3;,;0;,;2;,;1;,;3;,;2;");";;
193;,;193;,;1;,;0;,;1;,;0;,;0;,;0;,;1;,;1;");";;
194;,;194;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
195;,;195;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
196;,;196;,;3;,;0;,;1;,;0;,;2;,;0;,;1;,;3;");";;
197;,;197;,;3;,;0;,;0;,;0;,;3;,;0;,;0;,;3;");";;
198;,;198;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
199;,;199;,;5;,;0;,;1;,;1;,;3;,;0;,;2;,;5;");";;
200;,;200;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;
201;,;201;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
202;,;202;,;2;,;1;,;0;,;0;,;1;,;0;,;0;,;2;");";;
203;,;203;,;4;,;0;,;0;,;0;,;4;,;0;,;0;,;4;");";;
204;,;204;,;1;,;0;,;1;,;0;,;0;,;0;,;1;,;1;");";;
205;,;205;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
206;,;206;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;
207;,;207;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
208;,;208;,;2;,;1;,;0;,;0;,;1;,;0;,;0;,;2;");";;
209;,;209;,;2;,;0;,;0;,;2;,;0;,;0;,;2;,;2;");";;
210;,;210;,;3;,;0;,;2;,;0;,;1;,;0;,;2;,;1;");";;
211;,;211;,;1;,;0;,;0;,;1;,;0;,;0;,;1;,;1;");";;
212;,;212;,;6;,;0;,;2;,;2;,;2;,;0;,;4;,;2;");";;
213;,;213;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
214;,;214;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
215;,;215;,;3;,;0;,;0;,;2;,;1;,;0;,;2;,;2;");";;
216;,;216;,;2;,;0;,;0;,;0;,;1;,;1;,;0;,;1;");";;
217;,;217;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
218;,;218;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
219;,;219;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;
220;,;220;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
221;,;221;,;5;,;0;,;3;,;1;,;1;,;0;,;4;,;2;");";;
222;,;222;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
223;,;223;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
224;,;224;,;3;,;0;,;0;,;0;,;3;,;0;,;0;,;3;");";;
225;,;225;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
226;,;226;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
227;,;227;,;2;,;0;,;0;,;1;,;1;,;0;,;1;,;2;");";;
228;,;228;,;5;,;0;,;1;,;0;,;4;,;0;,;1;,;3;");";;
229;,;229;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;1;");";;
230;,;230;,;5;,;2;,;1;,;2;,;0;,;0;,;3;,;2;");";;
231;,;231;,;3;,;0;,;1;,;0;,;2;,;0;,;1;,;3;");";;
232;,;232;,;3;,;0;,;1;,;0;,;1;,;1;,;1;,;3;");";;
233;,;233;,;3;,;0;,;1;,;0;,;2;,;0;,;1;,;2;");";;
234;,;234;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;1;");";;
235;,;235;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
236;,;236;,;5;,;0;,;2;,;0;,;3;,;0;,;2;,;2;");";;
237;,;237;,;1;,;0;,;0;,;1;,;0;,;0;,;1;,;1;");";;
238;,;238;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
239;,;239;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
240;,;240;,;1;,;0;,;1;,;0;,;0;,;0;,;1;,;1;");";;
