id_Condicoes;;id_Acidente;;condicao_metereologica;;sentido_via;;tipo_pista;;tracado_via;;fase_dia;
172;,;172;,';Céu Claro;',';Crescente;',';Múltipla;',';Reta;',';Pleno dia;"');"
173;,;173;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
174;,;174;,';Céu Claro;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');"
175;,;175;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Plena Noite;"');"
176;,;176;,';Céu Claro;',';Decrescente;',';Simples;',';Curva;',';Pleno dia;"');"
177;,;177;,';Nublado;',';Decrescente;',';Simples;',';Reta;',';Plena Noite;"');"
178;,;178;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Plena Noite;"');"
179;,;179;,';Céu Claro;',';Decrescente;',';Múltipla;',';Reta;',';Plena Noite;"');"
180;,;180;,';Chuva;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
181;,;181;,';Céu Claro;',';Crescente;',';Simples;',';Interseção de vias;',';Pleno dia;"');"
182;,;182;,';Nublado;',';Decrescente;',';Simples;',';Não Informado;',';Pleno dia;"');"
183;,;183;,';Chuva;',';Decrescente;',';Simples;',';Curva;',';Pleno dia;"');"
184;,;184;,';Nublado;',';Crescente;',';Simples;',';Não Informado;',';Pleno dia;"');"
185;,;185;,';Nublado;',';Crescente;',';Simples;',';Não Informado;',';Pleno dia;"');"
186;,;186;,';Nublado;',';Decrescente;',';Múltipla;',';Desvio Temporário;',';Pleno dia;"');"
187;,;187;,';Céu Claro;',';Crescente;',';Simples;',';Rotatória;',';Pleno dia;"');"
188;,;188;,';Chuva;',';Não Informado;',';Simples;',';Curva;',';Plena Noite;"');"
189;,;189;,';Chuva;',';Crescente;',';Simples;',';Reta;',';Plena Noite;"');"
190;,;190;,';Céu Claro;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');"
191;,;191;,';Ignorado;',';Decrescente;',';Simples;',';Não Informado;',';Plena Noite;"');"
192;,;192;,';Chuva;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
193;,;193;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');"
194;,;194;,';Céu Claro;',';Decrescente;',';Simples;',';Não Informado;',';Anoitecer;"');"
195;,;195;,';Céu Claro;',';Crescente;',';Simples;',';Não Informado;',';Amanhecer;"');"
