idTipo;;idAcidente;;atropelamento;;capotagem;;choqueObjFixo;;colisao;;colisaoLat;;naoInf;;outro;;tombamento;
173;,;173;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
174;,;174;,;0;,;0;,;1;,;1;,;0;,;0;,;0;,;0;");"
175;,;175;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
176;,;176;,;2;,;0;,;1;,;1;,;0;,;0;,;0;,;1;");"
177;,;177;,;1;,;1;,;0;,;0;,;2;,;0;,;0;,;0;");"
178;,;178;,;2;,;0;,;2;,;0;,;1;,;0;,;0;,;0;");"
179;,;179;,;0;,;1;,;0;,;3;,;0;,;0;,;1;,;0;");"
180;,;180;,;3;,;0;,;0;,;3;,;0;,;0;,;0;,;0;");"
181;,;181;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;0;");"
182;,;182;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
183;,;183;,;10;,;0;,;5;,;4;,;4;,;0;,;1;,;1;");"
184;,;184;,;3;,;1;,;1;,;5;,;2;,;1;,;0;,;0;");"
185;,;185;,;2;,;0;,;2;,;0;,;0;,;0;,;0;,;1;");"
186;,;186;,;1;,;0;,;1;,;2;,;1;,;0;,;1;,;0;");"
187;,;187;,;0;,;0;,;0;,;1;,;1;,;0;,;0;,;2;");"
188;,;188;,;1;,;0;,;1;,;0;,;2;,;0;,;0;,;1;");"
189;,;189;,;0;,;0;,;0;,;3;,;0;,;0;,;0;,;0;");"
190;,;190;,;1;,;0;,;0;,;0;,;0;,;0;,;1;,;0;");"
191;,;191;,;1;,;2;,;0;,;2;,;0;,;0;,;0;,;0;");"
192;,;192;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
193;,;193;,;1;,;1;,;2;,;12;,;7;,;1;,;1;,;1;");"
194;,;194;,;0;,;0;,;0;,;3;,;0;,;0;,;0;,;0;");"
195;,;195;,;10;,;2;,;4;,;10;,;4;,;1;,;1;,;2;");"
196;,;196;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
197;,;197;,;1;,;0;,;0;,;1;,;1;,;0;,;0;,;0;");"
198;,;198;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
199;,;199;,;0;,;0;,;0;,;2;,;1;,;0;,;0;,;0;");"
200;,;200;,;0;,;0;,;2;,;3;,;0;,;0;,;1;,;0;");"
201;,;201;,;1;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
202;,;202;,;5;,;0;,;0;,;0;,;0;,;0;,;0;,;1;");"
203;,;203;,;31;,;1;,;13;,;17;,;12;,;2;,;2;,;5;");"
204;,;204;,;0;,;1;,;1;,;1;,;0;,;0;,;0;,;1;");"
205;,;205;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;2;");"
206;,;206;,;1;,;1;,;0;,;1;,;0;,;0;,;0;,;0;");"
207;,;207;,;1;,;0;,;0;,;0;,;0;,;0;,;0;,;0;");"
208;,;208;,;1;,;0;,;0;,;1;,;0;,;0;,;0;,;3;");"
209;,;209;,;1;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
210;,;210;,;10;,;0;,;2;,;7;,;2;,;0;,;2;,;2;");"
211;,;211;,;1;,;1;,;1;,;2;,;1;,;0;,;0;,;2;");"
212;,;212;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;1;");"
213;,;213;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;1;");"
214;,;214;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
215;,;215;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;1;");"
216;,;216;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
217;,;217;,;3;,;0;,;1;,;2;,;0;,;0;,;0;,;0;");"
218;,;218;,;0;,;1;,;0;,;1;,;0;,;0;,;0;,;0;");"
219;,;219;,;1;,;0;,;0;,;1;,;0;,;0;,;0;,;1;");"
220;,;220;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;1;");"
221;,;221;,;0;,;1;,;0;,;0;,;1;,;0;,;0;,;0;");"
222;,;222;,;0;,;1;,;0;,;3;,;0;,;0;,;0;,;0;");"
223;,;223;,;2;,;1;,;3;,;12;,;1;,;0;,;0;,;1;");"
224;,;224;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
225;,;225;,;11;,;1;,;3;,;8;,;3;,;1;,;1;,;8;");"
226;,;226;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
227;,;227;,;3;,;1;,;0;,;5;,;3;,;0;,;0;,;1;");"
228;,;228;,;1;,;0;,;0;,;2;,;0;,;1;,;0;,;0;");"
229;,;229;,;2;,;0;,;0;,;3;,;3;,;0;,;0;,;2;");"
230;,;230;,;0;,;3;,;0;,;1;,;0;,;0;,;0;,;0;");"
231;,;231;,;1;,;1;,;0;,;6;,;0;,;0;,;0;,;1;");"
232;,;232;,;1;,;0;,;1;,;3;,;1;,;1;,;0;,;1;");"
233;,;233;,;0;,;0;,;0;,;0;,;1;,;0;,;0;,;0;");"
234;,;234;,;0;,;0;,;1;,;0;,;0;,;0;,;0;,;0;");"
235;,;235;,;1;,;0;,;1;,;1;,;2;,;0;,;0;,;1;");"
236;,;236;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;1;");"
237;,;237;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
238;,;238;,;0;,;1;,;0;,;3;,;1;,;0;,;1;,;1;");"
239;,;239;,;1;,;0;,;0;,;4;,;1;,;0;,;0;,;1;");"
240;,;240;,;0;,;0;,;1;,;2;,;0;,;0;,;1;,;0;");"
241;,;241;,;2;,;0;,;1;,;1;,;0;,;0;,;0;,;0;");"
242;,;242;,;0;,;1;,;0;,;0;,;2;,;0;,;0;,;0;");"
243;,;243;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
244;,;244;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
245;,;245;,;1;,;0;,;0;,;3;,;0;,;0;,;0;,;1;");"
246;,;246;,;0;,;0;,;2;,;0;,;0;,;0;,;0;,;0;");"
247;,;247;,;1;,;0;,;0;,;0;,;0;,;0;,;0;,;0;");"
248;,;248;,;7;,;0;,;5;,;4;,;6;,;0;,;0;,;2;");"
249;,;249;,;0;,;1;,;1;,;0;,;0;,;0;,;1;,;1;");"
250;,;250;,;1;,;0;,;0;,;0;,;0;,;1;,;0;,;1;");"
251;,;251;,;0;,;1;,;0;,;1;,;0;,;0;,;0;,;0;");"
252;,;252;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
253;,;253;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;1;");"
254;,;254;,;0;,;1;,;0;,;0;,;0;,;0;,;0;,;0;");"
255;,;255;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
256;,;256;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;1;");"
257;,;257;,;1;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
258;,;258;,;5;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
259;,;259;,;1;,;0;,;1;,;3;,;0;,;0;,;0;,;1;");"
260;,;260;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
261;,;261;,;0;,;1;,;0;,;0;,;0;,;0;,;0;,;1;");"
262;,;262;,;2;,;0;,;2;,;3;,;2;,;0;,;0;,;1;");"
263;,;263;,;7;,;0;,;2;,;2;,;1;,;0;,;0;,;1;");"
264;,;264;,;0;,;0;,;1;,;1;,;0;,;1;,;0;,;0;");"
