idPart;;idAcidente;;Carona Moto;;Carroceiro;;Ciclista;;Condutor;;Motociclista;;Não Inf.;;Outros;;Passageiro;;Pedestre;
114;,;114;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;1;");"
115;,;115;,;0;,;0;,;1;,;1;,;1;,;0;,;0;,;0;,;1;");"
116;,;116;,;2;,;0;,;0;,;2;,;0;,;0;,;0;,;2;,;1;");"
117;,;117;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;1;");"
118;,;118;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;1;");"
119;,;119;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;1;,;0;");"
120;,;120;,;0;,;0;,;0;,;4;,;0;,;0;,;0;,;0;,;0;");"
121;,;121;,;0;,;0;,;0;,;1;,;2;,;0;,;0;,;0;,;0;");"
122;,;122;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;1;,;0;");"
123;,;123;,;0;,;0;,;0;,;1;,;4;,;0;,;0;,;0;,;0;");"
124;,;124;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;1;,;0;");"
125;,;125;,;0;,;0;,;0;,;1;,;1;,;0;,;0;,;0;,;0;");"
126;,;126;,;1;,;1;,;4;,;6;,;11;,;1;,;0;,;8;,;13;");"
127;,;127;,;1;,;0;,;3;,;3;,;7;,;0;,;0;,;5;,;2;");"
128;,;128;,;0;,;0;,;0;,;4;,;1;,;0;,;0;,;2;,;1;");"
129;,;129;,;0;,;0;,;0;,;0;,;2;,;0;,;0;,;1;,;0;");"
130;,;130;,;0;,;0;,;1;,;0;,;0;,;0;,;0;,;0;,;1;");"
131;,;131;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;,;0;");"
132;,;132;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;2;,;0;");"
133;,;133;,;0;,;0;,;0;,;2;,;1;,;0;,;0;,;0;,;0;");"
134;,;134;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;1;,;1;");"
135;,;135;,;0;,;0;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");"
136;,;136;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;1;");"
137;,;137;,;0;,;0;,;0;,;5;,;0;,;0;,;0;,;7;,;1;");"
138;,;138;,;0;,;0;,;1;,;0;,;4;,;0;,;0;,;0;,;0;");"
139;,;139;,;2;,;0;,;0;,;4;,;5;,;0;,;0;,;5;,;1;");"
140;,;140;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;,;0;");"
141;,;141;,;0;,;0;,;0;,;2;,;1;,;0;,;0;,;0;,;0;");"
142;,;142;,;0;,;0;,;0;,;1;,;3;,;0;,;0;,;1;,;1;");"
143;,;143;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;,;0;");"
144;,;144;,;0;,;0;,;0;,;2;,;2;,;0;,;0;,;1;,;1;");"
145;,;145;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;1;");"
146;,;146;,;0;,;0;,;1;,;1;,;2;,;0;,;0;,;0;,;0;");"
147;,;147;,;0;,;0;,;1;,;0;,;0;,;0;,;0;,;0;,;0;");"
148;,;148;,;0;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
