idLocal;;idAcidente;;municipio;
308;,;308;,';Vera Cruz;"');"
309;,;309;,';Veranópolis;"');"
310;,;310;,';Viamão;"');"
311;,;311;,';Vicente Dutra;"');"
312;,;312;,';Victor Graeff;"');"
313;,;313;,';Vila Flores;"');"
314;,;314;,';Vila Lângaro;"');"
315;,;315;,';Vila Maria;"');"
316;,;316;,';Vista Alegre;"');"
317;,;317;,';Vista Gaúcha;"');"
318;,;318;,';Vitória das Missões;"');"
319;,;319;,';Westfália;"');"
320;,;320;,';Xangri-lá;"');"
