id_Condicoes;;id_Acidente;;condicao_metereologica;;sentido_via;;tipo_pista;;tracado_via;;fase_dia;;;;;
81;,;81;,';Céu Claro;',';Crescente;',';Dupla;',';Reta;',';Plena Noite;"');";;;;
82;,;82;,';Céu Claro;',';Crescente;',';Simples;',';Curva;',';Plena Noite;"');";;;;
83;,;83;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Plena Noite;"');";;;;
84;,;84;,';Céu Claro;',';Decrescente;',';Dupla;',';Viaduto;',';Pleno dia;"');";;;;
85;,;85;,';Garoa/Chuvisco;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
86;,;86;,';Sol;',';Crescente;',';Simples;',';Não Informado;',';Pleno dia;"');";;;;
87;,;87;,';Céu Claro;',';Decrescente;',';Simples;',';Não Informado;',';Pleno dia;"');";;;;
88;,;88;,';Sol;',';Crescente;',';Simples;',';Interseção de vias;',';Pleno dia;"');";;;;
89;,;89;,';Céu Claro;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
90;,;90;,';Garoa/Chuvisco;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
91;,;91;,';Nublado;',';Decrescente;',';Dupla;',';Não Informado;',';Pleno dia;"');";;;;
92;,;92;,';Céu Claro;',';Crescente;',';Dupla;',';Não Informado;',';Pleno dia;"');";;;;
93;,;93;,';Nublado;',';Decrescente;',';Dupla;',';Não Informado;',';Pleno dia;"');";;;;
94;,;94;,';Céu Claro;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
95;,;95;,';Sol;',';Decrescente;',';Simples;',';Curva;',';Pleno dia;"');";;;;
96;,;96;,';Nublado;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
97;,;97;,';Nublado;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
98;,;98;,';Nublado;',';Crescente;',';Dupla;',';Não Informado;',';Pleno dia;"');";;;;
99;,;99;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
100;,;100;,';Céu Claro;',';Crescente;',';Simples;',';Interseção de vias;',';Pleno dia;"');";;;;
101;,;101;,';Céu Claro;',';Crescente;',';Simples;',';Não Informado;',';Plena Noite;"');";;;;
102;,;102;,';Nublado;',';Crescente;',';Simples;',';Não Informado;',';Plena Noite;"');";;;;
103;,;103;,';Sol;',';Decrescente;',';Simples;',';Não Informado;',';Pleno dia;"');";;;;
104;,;104;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Amanhecer;"');";;;;
105;,;105;,';Nublado;',';Crescente;',';Múltipla;',';Curva;',';Pleno dia;"');";;;;
106;,;106;,';Garoa/Chuvisco;',';Crescente;',';Simples;',';Interseção de vias;',';Pleno dia;"');";;;;
107;,;107;,';Nublado;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
108;,;108;,';Céu Claro;',';Decrescente;',';Simples;',';Não Informado;',';Pleno dia;"');";;;;
109;,;109;,';Sol;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
110;,;110;,';Nublado;',';Decrescente;',';Dupla;',';Interseção de vias;',';Pleno dia;"');";;;;
111;,;111;,';Sol;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');";;;;
112;,;112;,';Sol;',';Decrescente;',';Dupla;',';Não Informado;',';Pleno dia;"');";;;;
113;,;113;,';Sol;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
114;,;114;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
115;,;115;,';Garoa/Chuvisco;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
116;,;116;,';Nublado;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
117;,;117;,';Nublado;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
118;,;118;,';Nublado;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
119;,;119;,';Chuva;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
120;,;120;,';Nublado;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
121;,;121;,';Chuva;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
122;,;122;,';Chuva;',';Decrescente;',';Múltipla;',';Reta;',';Pleno dia;"');";;;;
123;,;123;,';Nublado;',';Crescente;',';Múltipla;',';Não Informado;',';Pleno dia;"');";;;;
124;,;124;,';Céu Claro;',';Decrescente;',';Dupla;',';Reta;',';Plena Noite;"');";;;;
125;,;125;,';Chuva;',';Decrescente;',';Simples;',';Rotatória;',';Pleno dia;"');";;;;
126;,;126;,';Garoa/Chuvisco;',';Crescente;',';Dupla;',';Curva;',';Pleno dia;"');";;;;
127;,;127;,';Céu Claro;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
128;,;128;,';Chuva;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
129;,;129;,';Chuva;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
130;,;130;,';Nublado;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');";;;;
131;,;131;,';Nublado;',';Decrescente;',';Simples;',';Interseção de vias;',';Pleno dia;"');";;;;
132;,;132;,';Céu Claro;',';Crescente;',';Simples;',';Não Informado;',';Pleno dia;"');";;;;
133;,;133;,';Chuva;',';Crescente;',';Simples;',';Não Informado;',';Pleno dia;"');";;;;
134;,;134;,';Chuva;',';Decrescente;',';Simples;',';Interseção de vias;',';Pleno dia;"');";;;;
135;,;135;,';Céu Claro;',';Crescente;',';Dupla;',';Reta;',';Plena Noite;"');";;;;
136;,;136;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
137;,;137;,';Chuva;',';Crescente;',';Simples;',';Não Informado;',';Pleno dia;"');";;;;
138;,;138;,';Chuva;',';Decrescente;',';Dupla;',';Curva;',';Plena Noite;"');";;;;
139;,;139;,';Chuva;',';Crescente;',';Simples;',';Reta;',';Plena Noite;"');";;;;
140;,;140;,';Nublado;',';Crescente;',';Simples;',';Curva;',';Plena Noite;"');";;;;
141;,;141;,';Nublado;',';Decrescente;',';Dupla;',';Curva;',';Amanhecer;"');";;;;
142;,;142;,';Chuva;',';Decrescente;',';Simples;',';Não Informado;',';Plena Noite;"');";;;;
143;,;143;,';Chuva;',';Decrescente;',';Dupla;',';Reta;',';Amanhecer;"');";;;;
144;,;144;,';Nublado;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
145;,;145;,';Garoa/Chuvisco;',';Crescente;',';Simples;',';Reta;',';Amanhecer;"');";;;;
146;,;146;,';Céu Claro;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');";;;;
147;,;147;,';Nublado;',';Crescente;',';Dupla;',';Reta;',';Plena Noite;"');";;;;
148;,;148;,';Chuva;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
149;,;149;,';Garoa/Chuvisco;',';Decrescente;',';Simples;',';Reta;',';Plena Noite;"');";;;;
150;,;150;,';Nublado;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');";;;;
151;,;151;,';Céu Claro;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
152;,;152;,';Chuva;',';Crescente;',';Dupla;',';Curva;',';Pleno dia;"');";;;;
153;,;153;,';Chuva;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
154;,;154;,';Sol;',';Crescente;',';Simples;',';Não Informado;',';Pleno dia;"');";;;;
155;,;155;,';Céu Claro;',';Crescente;',';Dupla;',';Curva;',';Pleno dia;"');";;;;
156;,;156;,';Garoa/Chuvisco;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
157;,;157;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
158;,;158;,';Céu Claro;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');";;;;
159;,;159;,';Céu Claro;',';Crescente;',';Simples;',';Rotatória;',';Anoitecer;"');";;;;
160;,;160;,';Céu Claro;',';Crescente;',';Simples;',';Não Informado;',';Plena Noite;"');";;;;
161;,;161;,';Nublado;',';Crescente;',';Dupla;',';Reta;',';Plena Noite;"');";;;;
162;,;162;,';Chuva;',';Crescente;',';Simples;',';Não Informado;',';Plena Noite;"');";;;;
163;,;163;,';Nublado;',';Crescente;',';Dupla;',';Reta;',';Amanhecer;"');";;;;
164;,;164;,';Nevoeiro/Neblina;',';Crescente;',';Dupla;',';Interseção de vias;',';Amanhecer;"');";;;;
165;,;165;,';Nublado;',';Crescente;',';Dupla;',';Reta;',';Plena Noite;"');";;;;
166;,;166;,';Nublado;',';Decrescente;',';Simples;',';Curva;',';Amanhecer;"');";;;;
167;,;167;,';Nublado;',';Crescente;',';Simples;',';Não Informado;',';Pleno dia;"');";;;;
168;,;168;,';Céu Claro;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
169;,;169;,';Nublado;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
170;,;170;,';Céu Claro;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
171;,;171;,';Sol;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
172;,;172;,';Céu Claro;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
173;,;173;,';Sol;',';Decrescente;',';Simples;',';Não Informado;',';Pleno dia;"');";;;;
174;,;174;,';Sol;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
175;,;175;,';Chuva;',';Crescente;',';Dupla;',';Curva;',';Pleno dia;"');";;;;
176;,;176;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
177;,;177;,';Céu Claro;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
178;,;178;,';Chuva;',';Decrescente;',';Dupla;',';Reta;',';Plena Noite;"');";;;;
179;,;179;,';Nublado;',';Decrescente;',';Dupla;',';Não Informado;',';Pleno dia;"');";;;;
180;,;180;,';Chuva;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');";;;;
181;,;181;,';Sol;',';Decrescente;',';Simples;',';Curva;',';Pleno dia;"');";;;;
182;,;182;,';Chuva;',';Decrescente;',';Dupla;',';Curva;',';Anoitecer;"');";;;;
183;,;183;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Plena Noite;"');";;;;
184;,;184;,';Céu Claro;',';Decrescente;',';Dupla;',';Reta;',';Plena Noite;"');";;;;
185;,;185;,';Nublado;',';Decrescente;',';Simples;',';Curva;',';Plena Noite;"');";;;;
186;,;186;,';Nublado;',';Crescente;',';Dupla;',';Reta;',';Amanhecer;"');";;;;
187;,;187;,';Sol;',';Decrescente;',';Múltipla;',';Reta;',';Pleno dia;"');";;;;
188;,;188;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
189;,;189;,';Céu Claro;',';Crescente;',';Simples;',';Interseção de vias;',';Pleno dia;"');";;;;
190;,;190;,';Céu Claro;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');";;;;
191;,;191;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
192;,;192;,';Garoa/Chuvisco;',';Crescente;',';Dupla;',';Curva;',';Pleno dia;"');";;;;
193;,;193;,';Sol;',';Crescente;',';Múltipla;',';Reta;',';Pleno dia;"');";;;;
194;,;194;,';Chuva;',';Decrescente;',';Simples;',';Reta;',';Amanhecer;"');";;;;
195;,;195;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Plena Noite;"');";;;;
196;,;196;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
197;,;197;,';Chuva;',';Crescente;',';Dupla;',';Curva;',';Pleno dia;"');";;;;
198;,;198;,';Nublado;',';Crescente;',';Dupla;',';Curva;',';Plena Noite;"');";;;;
199;,;199;,';Céu Claro;',';Decrescente;',';Dupla;',';Reta;',';Plena Noite;"');";;;;
200;,;200;,';Céu Claro;',';Decrescente;',';Dupla;',';Reta;',';Plena Noite;"');";;;;
201;,;201;,';Nublado;',';Crescente;',';Dupla;',';Reta;',';Plena Noite;"');";;;;
202;,;202;,';Nublado;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');";;;;
203;,;203;,';Nublado;',';Crescente;',';Simples;',';Interseção de vias;',';Pleno dia;"');";;;;
204;,;204;,';Nevoeiro/Neblina;',';Crescente;',';Simples;',';Reta;',';Anoitecer;"');";;;;
205;,;205;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Plena Noite;"');";;;;
206;,;206;,';Garoa/Chuvisco;',';Decrescente;',';Dupla;',';Curva;',';Plena Noite;"');";;;;
207;,;207;,';Céu Claro;',';Crescente;',';Dupla;',';Reta;',';Plena Noite;"');";;;;
208;,;208;,';Nublado;',';Decrescente;',';Simples;',';Reta;',';Plena Noite;"');";;;;
209;,;209;,';Nublado;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
210;,;210;,';Nublado;',';Crescente;',';Dupla;',';Não Informado;',';Pleno dia;"');";;;;
211;,;211;,';Céu Claro;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
212;,;212;,';Sol;',';Crescente;',';Dupla;',';Não Informado;',';Pleno dia;"');";;;;
213;,;213;,';Nublado;',';Crescente;',';Dupla;',';Curva;',';Pleno dia;"');";;;;
214;,;214;,';Garoa/Chuvisco;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
215;,;215;,';Nublado;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
216;,;216;,';Nublado;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
217;,;217;,';Nublado;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
218;,;218;,';Sol;',';Crescente;',';Simples;',';Interseção de vias;',';Pleno dia;"');";;;;
219;,;219;,';Chuva;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
220;,;220;,';Nublado;',';Decrescente;',';Simples;',';Curva;',';Pleno dia;"');";;;;
221;,;221;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Plena Noite;"');";;;;
222;,;222;,';Nublado;',';Decrescente;',';Múltipla;',';Reta;',';Plena Noite;"');";;;;
223;,;223;,';Chuva;',';Decrescente;',';Simples;',';Não Informado;',';Plena Noite;"');";;;;
224;,;224;,';Garoa/Chuvisco;',';Crescente;',';Simples;',';Reta;',';Plena Noite;"');";;;;
225;,;225;,';Nublado;',';Decrescente;',';Simples;',';Curva;',';Plena Noite;"');";;;;
226;,;226;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Plena Noite;"');";;;;
227;,;227;,';Nublado;',';Crescente;',';Simples;',';Reta;',';Plena Noite;"');";;;;
228;,;228;,';Céu Claro;',';Crescente;',';Simples;',';Interseção de vias;',';Pleno dia;"');";;;;
229;,;229;,';Nublado;',';Decrescente;',';Simples;',';Desvio Temporário;',';Pleno dia;"');";;;;
230;,;230;,';Nublado;',';Decrescente;',';Simples;',';Reta;',';Plena Noite;"');";;;;
231;,;231;,';Nublado;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
232;,;232;,';Nublado;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
233;,;233;,';Chuva;',';Decrescente;',';Simples;',';Curva;',';Pleno dia;"');";;;;
234;,;234;,';Céu Claro;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
235;,;235;,';Nublado;',';Decrescente;',';Dupla;',';Curva;',';Pleno dia;"');";;;;
236;,;236;,';Nublado;',';Decrescente;',';Dupla;',';Curva;',';Pleno dia;"');";;;;
237;,;237;,';Chuva;',';Decrescente;',';Simples;',';Interseção de vias;',';Pleno dia;"');";;;;
238;,;238;,';Nublado;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
239;,;239;,';Garoa/Chuvisco;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
240;,;240;,';Chuva;',';Decrescente;',';Múltipla;',';Curva;',';Plena Noite;"');";;;;
241;,;241;,';Chuva;',';Crescente;',';Dupla;',';Reta;',';Plena Noite;"');";;;;
242;,;242;,';Chuva;',';Crescente;',';Múltipla;',';Reta;',';Plena Noite;"');";;;;
243;,;243;,';Nevoeiro/Neblina;',';Crescente;',';Simples;',';Reta;',';Plena Noite;"');";;;;
244;,;244;,';Chuva;',';Crescente;',';Simples;',';Reta;',';Plena Noite;"');";;;;
245;,;245;,';Chuva;',';Crescente;',';Dupla;',';Reta;',';Plena Noite;"');";;;;
246;,;246;,';Chuva;',';Decrescente;',';Dupla;',';Viaduto;',';Plena Noite;"');";;;;
