id_Participantes;;id_Acidente;;pessoas;;mortos;;feridos_leves;;feridos_graves;;ilesos;;ignorados;;feridos;;veiculos;;;;;
200;,;200;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;;;
201;,;201;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;;;
202;,;202;,;1;,;0;,;0;,;1;,;0;,;0;,;1;,;1;");";;;;
203;,;203;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;;;
204;,;204;,;2;,;0;,;1;,;1;,;0;,;0;,;2;,;2;");";;;;
205;,;205;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;;;
206;,;206;,;5;,;0;,;2;,;0;,;3;,;0;,;2;,;4;");";;;;
207;,;207;,;4;,;0;,;0;,;2;,;2;,;0;,;2;,;3;");";;;;
208;,;208;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;;;
209;,;209;,;6;,;0;,;0;,;0;,;6;,;0;,;0;,;3;");";;;;
210;,;210;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
211;,;211;,;3;,;0;,;1;,;0;,;2;,;0;,;1;,;2;");";;;;
212;,;212;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;;;
213;,;213;,;4;,;0;,;2;,;0;,;2;,;0;,;2;,;3;");";;;;
214;,;214;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
215;,;215;,;1;,;0;,;1;,;0;,;0;,;0;,;1;,;1;");";;;;
216;,;216;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;1;");";;;;
217;,;217;,;3;,;0;,;0;,;0;,;3;,;0;,;0;,;3;");";;;;
218;,;218;,;3;,;0;,;2;,;0;,;1;,;0;,;2;,;2;");";;;;
219;,;219;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
220;,;220;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;;;
221;,;221;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
222;,;222;,;2;,;0;,;0;,;0;,;0;,;2;,;0;,;1;");";;;;
223;,;223;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
224;,;224;,;2;,;0;,;0;,;1;,;1;,;0;,;1;,;2;");";;;;
225;,;225;,;5;,;0;,;3;,;1;,;1;,;0;,;4;,;2;");";;;;
226;,;226;,;5;,;0;,;3;,;1;,;1;,;0;,;4;,;2;");";;;;
227;,;227;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
228;,;228;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
229;,;229;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;;;
230;,;230;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
231;,;231;,;2;,;0;,;0;,;1;,;1;,;0;,;1;,;2;");";;;;
232;,;232;,;2;,;0;,;0;,;1;,;1;,;0;,;1;,;2;");";;;;
233;,;233;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
234;,;234;,;3;,;0;,;2;,;0;,;1;,;0;,;2;,;2;");";;;;
235;,;235;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
236;,;236;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
237;,;237;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;;;
238;,;238;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
239;,;239;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
240;,;240;,;4;,;0;,;1;,;0;,;3;,;0;,;1;,;3;");";;;;
241;,;241;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
242;,;242;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
